,Label,FileName
0,Blues,1042.fused.full.npy.gz
1,Blues,1043.fused.full.npy.gz
2,Blues,1044.fused.full.npy.gz
3,Blues,1045.fused.full.npy.gz
4,Blues,1046.fused.full.npy.gz
5,Blues,1047.fused.full.npy.gz
6,Blues,1048.fused.full.npy.gz
7,Blues,11957.fused.full.npy.gz
8,Blues,123943.fused.full.npy.gz
9,Blues,123944.fused.full.npy.gz
10,Blues,123945.fused.full.npy.gz
11,Blues,123946.fused.full.npy.gz
12,Blues,123947.fused.full.npy.gz
13,Blues,123949.fused.full.npy.gz
14,Blues,123950.fused.full.npy.gz
15,Blues,123951.fused.full.npy.gz
16,Blues,123952.fused.full.npy.gz
17,Blues,123953.fused.full.npy.gz
18,Blues,123954.fused.full.npy.gz
19,Blues,123955.fused.full.npy.gz
20,Blues,123958.fused.full.npy.gz
21,Blues,123960.fused.full.npy.gz
22,Blues,123961.fused.full.npy.gz
23,Blues,123963.fused.full.npy.gz
24,Blues,12787.fused.full.npy.gz
25,Blues,12790.fused.full.npy.gz
26,Blues,12792.fused.full.npy.gz
27,Blues,12796.fused.full.npy.gz
28,Blues,12803.fused.full.npy.gz
29,Blues,12884.fused.full.npy.gz
30,Blues,12901.fused.full.npy.gz
31,Blues,13193.fused.full.npy.gz
32,Blues,13671.fused.full.npy.gz
33,Blues,15510.fused.full.npy.gz
34,Blues,16023.fused.full.npy.gz
35,Blues,16024.fused.full.npy.gz
36,Blues,16301.fused.full.npy.gz
37,Blues,16304.fused.full.npy.gz
38,Blues,17557.fused.full.npy.gz
39,Blues,17559.fused.full.npy.gz
40,Blues,17695.fused.full.npy.gz
41,Blues,17750.fused.full.npy.gz
42,Blues,17754.fused.full.npy.gz
43,Blues,17761.fused.full.npy.gz
44,Blues,17779.fused.full.npy.gz
45,Blues,18643.fused.full.npy.gz
46,Blues,18738.fused.full.npy.gz
47,Blues,18917.fused.full.npy.gz
48,Blues,18918.fused.full.npy.gz
49,Blues,18919.fused.full.npy.gz
50,Blues,18923.fused.full.npy.gz
51,Blues,19125.fused.full.npy.gz
52,Blues,19126.fused.full.npy.gz
53,Blues,19128.fused.full.npy.gz
54,Blues,19129.fused.full.npy.gz
55,Blues,19130.fused.full.npy.gz
56,Blues,19131.fused.full.npy.gz
57,Blues,19133.fused.full.npy.gz
58,Blues,19134.fused.full.npy.gz
59,Blues,19135.fused.full.npy.gz
60,Blues,19137.fused.full.npy.gz
61,Blues,20434.fused.full.npy.gz
62,Blues,20576.fused.full.npy.gz
